id_transakcji;kwota;data_transakcji;id_klienta;id_wycieczki
86;680.0;2020-06-01;2563;2
87;680.0;2020-06-04;1294;2
88;520.0;2020-06-22;2010;2
89;392.0;2020-06-11;1389;2
90;680.0;2020-06-21;1502;2
91;800.0;2020-06-05;878;2
92;680.0;2020-06-13;3260;2
93;600.0;2020-05-31;1492;2
94;800.0;2020-06-22;2477;2
95;520.0;2020-06-06;395;2
96;680.0;2020-06-11;821;2
97;680.0;2020-06-17;3083;2
98;680.0;2020-06-18;2389;2
99;720.0;2020-06-10;304;2
100;400.0;2020-06-16;810;2
101;720.0;2020-06-16;634;2
102;600.0;2020-06-01;851;2
103;392.0;2020-06-18;615;2
104;680.0;2020-06-15;1668;2
105;680.0;2020-06-07;2887;2
106;1445.0;2023-08-12;3301;3
107;1530.0;2023-08-02;2682;3
108;1275.0;2023-08-16;128;3
109;1105.0;2023-08-24;3178;3
110;1700.0;2023-08-04;232;3
111;833.0;2023-08-01;2244;3
112;1445.0;2023-08-17;1274;3
113;1530.0;2023-08-18;1815;3
114;1530.0;2023-08-20;2763;3
115;833.0;2023-08-16;1871;3
116;1275.0;2023-08-14;661;3
117;1445.0;2023-08-18;2015;3
118;833.0;2023-08-05;776;3
119;833.0;2023-08-14;1542;3
120;1530.0;2023-08-16;2113;3
121;1530.0;2023-08-22;1102;3
122;833.0;2023-08-03;572;3
123;1530.0;2023-08-01;1015;3
124;850.0;2023-08-14;567;3
125;833.0;2023-08-24;3038;3
126;1445.0;2023-08-17;50;3
127;1530.0;2023-08-19;3669;3
128;833.0;2023-08-20;684;3
129;1445.0;2023-08-12;755;3
130;1530.0;2023-08-05;1296;3
131;1445.0;2023-08-21;1873;3
132;833.0;2023-08-06;3494;3
133;1445.0;2023-08-02;1036;3
134;833.0;2023-08-05;630;3
135;1445.0;2023-08-23;771;3
136;1105.0;2023-08-13;3060;3
137;1275.0;2023-08-17;1683;3
138;1445.0;2023-08-13;2480;3
139;1530.0;2023-08-22;956;3
140;1275.0;2023-08-03;2871;3
141;1530.0;2023-08-21;3701;3
142;1445.0;2023-08-02;3642;3
143;1530.0;2023-08-15;2172;3
144;1445.0;2023-08-22;3738;3
145;1530.0;2023-08-03;1270;3
146;1105.0;2023-08-08;2539;3
147;1105.0;2023-08-04;3049;3
148;1275.0;2023-08-10;3829;3
149;1700.0;2023-08-17;3032;3
150;1275.0;2023-08-01;2993;3
151;1530.0;2023-08-01;2857;3
152;1275.0;2024-07-01;1194;4
153;1125.0;2024-07-11;181;4
154;735.0;2024-07-07;3542;4
155;1275.0;2024-07-14;3228;4
156;1275.0;2024-07-15;147;4
157;1275.0;2024-07-08;643;4
158;735.0;2024-07-15;3381;4
159;1500.0;2024-07-15;2813;4
160;1275.0;2024-07-07;2772;4
161;1350.0;2024-07-12;2094;4
162;1275.0;2024-07-17;1318;4
163;1275.0;2024-07-22;1724;4
164;1500.0;2024-07-19;2547;4
165;1350.0;2024-07-04;864;4
166;1275.0;2024-07-15;1084;4
167;735.0;2024-07-19;3608;4
168;735.0;2024-07-06;1351;4
169;1275.0;2024-07-04;3627;4
170;975.0;2024-07-08;2513;4
171;1125.0;2024-07-23;296;4
172;1125.0;2024-07-20;1475;4
173;1275.0;2024-07-02;2641;4
174;1125.0;2024-07-17;2154;4
175;1125.0;2024-07-06;2640;4
176;1275.0;2024-07-11;3645;4
177;1125.0;2024-07-12;1401;4
178;975.0;2024-07-20;786;4
179;1275.0;2024-07-04;3803;4
180;1125.0;2024-07-11;2438;4
181;750.0;2024-07-21;2963;4
182;1350.0;2024-07-19;1111;4
183;735.0;2024-07-11;2897;4
184;1275.0;2024-07-04;1259;4
185;1275.0;2024-07-06;1904;4
186;1275.0;2024-07-04;3103;4
187;1500.0;2024-07-04;1742;4
188;975.0;2024-07-10;1383;4
189;1275.0;2024-07-10;3135;4
190;975.0;2024-07-02;1017;4
191;1275.0;2024-07-10;821;4
192;1350.0;2024-07-01;3630;4
193;1700.0;2021-09-21;214;5
194;1105.0;2021-09-01;2818;5
195;1530.0;2021-09-06;3219;5
196;1105.0;2021-09-14;524;5
197;1700.0;2021-09-09;2133;5
198;1530.0;2021-09-11;3161;5
199;1275.0;2021-09-06;2919;5
200;850.0;2021-09-14;2963;5
201;833.0;2021-09-08;2281;5
202;850.0;2021-09-02;1573;5
203;850.0;2021-09-22;2342;5
204;1105.0;2021-09-03;461;5
205;850.0;2021-08-31;2340;5
206;1700.0;2021-09-20;1806;5
207;1105.0;2021-09-10;2791;5
208;1530.0;2021-09-05;240;5
209;1275.0;2021-09-23;2536;5
210;1530.0;2021-09-17;2658;5
211;1530.0;2021-09-08;3387;5
212;833.0;2021-09-12;2105;5
213;1445.0;2021-09-13;3773;5
214;1105.0;2021-09-04;2406;5
215;1275.0;2021-09-20;3828;5
216;1105.0;2021-09-12;282;5
217;1275.0;2021-09-22;3162;5
218;1530.0;2021-09-13;2276;5
219;1105.0;2021-09-04;2732;5
220;1275.0;2021-09-15;1559;5
221;1530.0;2021-09-08;1550;5
222;1275.0;2021-09-08;1444;5
223;1700.0;2021-09-10;3760;5
224;833.0;2021-09-15;2579;5
225;1275.0;2021-09-17;1060;5
226;1105.0;2021-09-22;3250;5
227;1445.0;2021-09-02;1568;5
228;1275.0;2021-09-15;3153;5
229;1445.0;2021-09-19;1782;5
230;1530.0;2021-09-08;1241;5
231;1445.0;2021-09-20;93;5
232;1445.0;2021-09-16;62;5
233;1530.0;2021-09-03;2885;5
234;1275.0;2021-09-11;701;5
235;1700.0;2021-09-06;3393;5
236;1445.0;2021-09-12;3379;5
237;1700.0;2021-08-31;495;5
238;1700.0;2021-09-05;1679;5
239;1530.0;2021-09-15;2527;5
240;1445.0;2021-09-04;1251;5
241;1530.0;2021-09-18;1916;5
242;1530.0;2021-09-14;1223;5
243;833.0;2021-09-23;3036;5
244;1275.0;2021-09-01;733;5
245;1105.0;2021-09-16;3815;5
246;1275.0;2021-09-09;2112;5
247;1275.0;2021-09-21;507;5
248;1530.0;2021-09-05;1064;5
249;1445.0;2021-09-05;2910;5
250;833.0;2021-09-15;2173;5
251;1700.0;2021-09-08;2335;5
252;1530.0;2021-09-21;3554;5
253;833.0;2021-09-03;3192;5
254;1710.0;2021-07-10;2596;6
255;1710.0;2021-07-23;3364;6
256;1710.0;2021-07-05;803;6
257;931.0;2021-07-12;2810;6
258;1425.0;2021-07-20;2002;6
259;1710.0;2021-07-03;2819;6
260;1425.0;2021-07-16;2370;6
261;950.0;2021-07-08;3628;6
262;1615.0;2021-07-17;3847;6
263;1425.0;2021-07-13;1406;6
264;1900.0;2021-07-05;2411;6
265;1425.0;2021-07-08;859;6
266;1900.0;2021-07-11;2545;6
267;1710.0;2021-07-23;933;6
268;1425.0;2021-07-07;3653;6
269;931.0;2021-07-23;1141;6
270;1425.0;2021-07-14;1011;6
271;931.0;2021-07-24;3186;6
272;1235.0;2021-07-14;20;6
273;1710.0;2021-07-09;2435;6
274;931.0;2021-07-11;2241;6
275;1425.0;2021-07-13;2957;6
276;1615.0;2021-07-18;700;6
277;1710.0;2021-07-08;349;6
278;1615.0;2021-07-11;761;6
279;1710.0;2021-07-11;3533;6
280;1710.0;2021-07-15;473;6
281;1710.0;2021-07-17;79;6
282;1425.0;2021-07-19;2040;6
283;1615.0;2021-07-15;2412;6
284;1710.0;2021-07-04;3089;6
285;931.0;2021-07-23;1894;6
286;931.0;2021-07-02;3495;6
287;1710.0;2021-07-11;950;6
288;950.0;2021-07-12;2137;6
289;1900.0;2021-07-09;809;6
290;1615.0;2021-07-13;1743;6
291;1615.0;2021-07-04;2366;6
292;1425.0;2021-07-11;2263;6
293;1425.0;2021-07-10;972;6
294;1425.0;2021-07-06;945;6
295;1710.0;2021-07-07;2363;6
296;931.0;2021-07-14;3332;6
297;931.0;2021-07-11;3698;6
298;1615.0;2021-07-12;492;6
299;1425.0;2021-07-20;527;6
300;1235.0;2021-07-01;78;6
301;1425.0;2021-07-17;2016;6
302;1900.0;2021-07-18;1616;6
303;1710.0;2021-07-08;3839;6
304;1710.0;2021-07-10;1968;6
305;1615.0;2021-07-09;3137;6
306;1710.0;2021-07-19;3161;6
307;1425.0;2021-07-01;3411;6
308;950.0;2024-09-11;227;7
309;1710.0;2024-09-03;2881;7
310;1425.0;2024-09-09;2925;7
311;1615.0;2024-09-18;627;7
312;1615.0;2024-09-19;2315;7
313;1710.0;2024-09-01;881;7
314;1615.0;2024-09-01;3061;7
315;1235.0;2024-09-14;1393;7
316;1900.0;2024-09-03;3045;7
317;1710.0;2024-09-22;2039;7
318;1710.0;2024-09-04;2548;7
319;1710.0;2024-09-21;1198;7
320;1425.0;2024-09-13;3297;7
321;1235.0;2024-09-15;2908;7
322;1425.0;2024-09-05;3100;7
323;1615.0;2024-09-11;195;7
324;931.0;2024-09-03;1527;7
325;1615.0;2024-09-05;1563;7
326;931.0;2024-09-18;2306;7
327;950.0;2024-09-07;305;7
328;1235.0;2024-09-17;2944;7
329;1710.0;2024-09-13;3845;7
330;1235.0;2024-09-07;1632;7
331;1710.0;2024-09-23;977;7
332;1235.0;2024-09-08;564;7
333;1235.0;2024-09-01;3441;7
334;1710.0;2024-09-12;592;7
335;1425.0;2024-09-09;2796;7
336;1615.0;2024-09-22;1630;7
337;1425.0;2024-09-10;2479;7
338;1900.0;2024-09-22;999;7
339;1900.0;2024-09-13;184;7
340;1900.0;2024-09-06;624;7
341;1900.0;2024-09-10;2678;7
342;1900.0;2024-09-03;373;7
343;1425.0;2024-09-10;1648;7
344;1235.0;2024-09-20;2514;7
345;1710.0;2024-08-31;329;7
346;931.0;2024-09-10;668;7
347;931.0;2024-09-19;1254;7
348;931.0;2024-09-15;2466;7
349;931.0;2024-09-05;2241;7
350;1900.0;2024-09-19;1055;7
351;1710.0;2024-09-03;649;7
352;931.0;2024-09-09;1096;7
353;1710.0;2024-09-23;3869;7
354;1615.0;2024-09-06;1018;7
355;1425.0;2024-09-13;845;7
356;1710.0;2024-09-03;692;7
357;1900.0;2024-09-16;714;7
358;1615.0;2024-09-02;2528;7
359;1615.0;2024-09-19;935;7
360;1235.0;2024-09-10;1218;7
361;1615.0;2024-09-15;2653;7
362;1710.0;2024-09-05;1756;7
363;931.0;2024-09-06;447;7
364;931.0;2024-09-11;555;7
365;1710.0;2024-08-31;3359;7
366;1615.0;2024-09-11;934;7
367;1710.0;2024-09-18;1409;7
368;1615.0;2024-09-06;62;7
369;1615.0;2024-09-12;1497;7
370;1615.0;2024-09-18;1338;7
371;1425.0;2024-09-18;1884;7
372;1235.0;2024-09-16;3598;7
373;1235.0;2024-09-01;1324;7
374;1900.0;2024-09-22;2216;7
375;1710.0;2024-09-14;2966;7
376;1710.0;2020-06-05;1137;8
377;1425.0;2020-06-09;959;8
378;1615.0;2020-06-06;2728;8
379;1615.0;2020-06-01;2687;8
380;950.0;2020-06-13;2600;8
381;1710.0;2020-06-07;852;8
382;1235.0;2020-06-11;3715;8
383;1710.0;2020-06-04;3780;8
384;1235.0;2020-06-15;282;8
385;1900.0;2020-06-21;1297;8
386;1615.0;2020-06-16;449;8
387;1425.0;2020-06-08;1474;8
388;1900.0;2020-06-12;2521;8
389;1615.0;2020-06-09;3724;8
390;1235.0;2020-06-05;812;8
391;1710.0;2020-06-16;67;8
392;1710.0;2020-06-17;2041;8
393;931.0;2020-06-16;1700;8
394;1900.0;2020-06-12;675;8
395;1615.0;2020-06-07;202;8
396;1615.0;2020-06-21;1090;8
397;931.0;2020-06-12;1160;8
398;931.0;2020-06-09;1979;8
399;1710.0;2020-06-02;1198;8
400;1615.0;2020-06-13;2326;8
401;931.0;2020-06-15;1867;8
402;1710.0;2020-06-11;748;8
403;1615.0;2020-06-07;3785;8
404;1235.0;2020-06-10;1765;8
405;1235.0;2020-06-05;185;8
406;950.0;2020-06-08;3518;8
407;931.0;2020-06-12;699;8
408;1615.0;2020-06-16;1634;8
409;1900.0;2020-06-20;3078;8
410;950.0;2020-06-12;1793;8
411;1235.0;2020-06-13;3784;8
412;931.0;2020-06-02;2704;8
413;1710.0;2020-06-18;2875;8
414;1235.0;2020-06-03;319;8
415;1235.0;2020-06-22;461;8
416;1710.0;2020-06-20;38;8
417;1615.0;2020-06-03;1199;8
418;1615.0;2020-06-02;1235;8
419;1425.0;2020-06-04;1888;8
420;1900.0;2020-05-31;2938;8
421;931.0;2020-06-10;1169;8
422;931.0;2020-05-31;837;8
423;950.0;2020-06-11;312;8
424;1710.0;2020-05-31;2911;8
425;1615.0;2020-06-09;866;8
426;1235.0;2020-06-08;3250;8
427;1365.0;2024-07-24;3676;9
428;1785.0;2024-07-21;1142;9
429;1785.0;2024-07-03;2688;9
430;1785.0;2024-07-08;3048;9
431;1575.0;2024-07-19;2409;9
432;1575.0;2024-07-05;2201;9
433;1575.0;2024-07-07;905;9
434;1365.0;2024-07-24;420;9
435;2100.0;2024-07-04;3382;9
436;1785.0;2024-07-06;2383;9
437;1575.0;2024-07-05;138;9
438;1575.0;2024-07-06;322;9
439;1785.0;2024-07-20;1989;9
440;1890.0;2024-07-18;1289;9
441;1785.0;2024-07-08;528;9
442;1575.0;2024-07-23;1669;9
443;1029.0;2024-07-21;2461;9
444;1890.0;2024-07-06;3404;9
445;2100.0;2024-07-22;1445;9
446;1365.0;2024-07-22;595;9
447;1575.0;2024-07-06;1179;9
448;1785.0;2024-07-02;1824;9
449;2100.0;2024-07-20;1785;9
450;1785.0;2024-07-15;1601;9
451;1029.0;2024-07-03;2632;9
452;810.0;2021-08-24;1855;10
453;810.0;2021-08-20;3822;10
454;810.0;2021-08-23;2819;10
455;765.0;2021-08-07;295;10
456;585.0;2021-08-22;2505;10
457;765.0;2021-08-05;1625;10
458;675.0;2021-08-08;2112;10
459;675.0;2021-08-06;909;10
460;765.0;2021-08-09;801;10
461;450.0;2021-08-22;312;10
462;441.0;2021-08-10;1664;10
463;441.0;2021-08-03;2228;10
464;450.0;2021-08-24;1740;10
465;675.0;2021-08-20;499;10
466;585.0;2021-08-13;1847;10
467;765.0;2021-08-22;3831;10
468;810.0;2021-08-02;663;10
469;675.0;2021-08-17;82;10
470;675.0;2021-08-23;2882;10
471;765.0;2021-08-13;3433;10
472;765.0;2021-08-24;3064;10
473;675.0;2021-08-21;3342;10
474;810.0;2021-08-20;3331;10
475;675.0;2021-08-03;3193;10
476;810.0;2021-08-13;3625;10
477;675.0;2021-08-17;394;10
478;585.0;2021-08-16;3602;10
479;765.0;2021-08-11;580;10
480;441.0;2021-08-12;893;10
481;441.0;2021-08-05;2127;10
482;585.0;2021-08-11;3788;10
483;450.0;2021-08-20;567;10
484;441.0;2021-08-23;452;10
485;900.0;2021-08-23;3185;10
486;585.0;2021-08-01;564;10
487;765.0;2021-08-23;3217;10
488;675.0;2021-08-17;2869;10
489;900.0;2021-08-12;3766;10
490;810.0;2021-08-02;1968;10
491;765.0;2021-08-09;2164;10
492;900.0;2021-08-11;2223;10
493;765.0;2021-08-09;3705;10
494;765.0;2022-08-22;3857;11
495;441.0;2022-08-20;1346;11
496;675.0;2022-08-15;2261;11
497;765.0;2022-08-09;656;11
498;675.0;2022-08-19;3087;11
499;900.0;2022-08-23;3167;11
500;675.0;2022-08-13;2996;11
501;675.0;2022-08-05;3498;11
502;900.0;2022-08-24;922;11
503;900.0;2022-08-08;3234;11
504;765.0;2022-08-05;3173;11
505;765.0;2022-08-22;1749;11
506;765.0;2022-08-06;1253;11
507;810.0;2022-08-02;475;11
508;765.0;2022-08-24;2668;11
509;585.0;2022-08-20;1026;11
510;450.0;2022-08-01;1047;11
511;675.0;2022-08-11;3552;11
512;441.0;2022-08-06;3500;11
513;441.0;2022-08-07;1113;11
514;900.0;2022-08-05;1147;11
515;810.0;2022-08-14;3326;11
516;810.0;2022-08-16;1856;11
517;810.0;2022-08-06;270;11
518;810.0;2022-08-01;743;11
519;765.0;2022-08-03;3687;11
520;450.0;2022-08-12;1823;11
521;675.0;2022-08-02;3841;11
522;675.0;2022-08-06;1932;11
523;675.0;2022-08-13;2379;11
524;675.0;2022-08-18;170;11
525;810.0;2022-08-11;1420;11
526;810.0;2022-08-03;3458;11
527;585.0;2022-08-15;3138;11
528;810.0;2022-08-11;259;11
529;585.0;2022-08-06;3529;11
530;810.0;2022-08-24;3305;11
531;675.0;2022-08-10;2940;11
532;765.0;2022-08-04;465;11
533;765.0;2022-08-06;1848;11
534;810.0;2022-08-11;2332;11
535;765.0;2022-08-23;87;11
536;765.0;2022-08-07;3273;11
537;441.0;2022-08-18;2637;11
538;675.0;2022-08-21;2126;11
539;441.0;2022-08-09;1063;11
540;441.0;2022-08-05;1524;11
541;900.0;2022-08-17;3557;11
542;441.0;2022-08-02;1206;11
543;450.0;2022-08-02;2663;11
544;765.0;2022-08-18;2444;11
545;765.0;2022-08-08;2282;11
546;765.0;2022-08-19;2218;11
547;450.0;2022-08-15;1010;11
548;441.0;2022-08-14;2705;11
549;675.0;2022-08-21;2978;11
550;765.0;2022-08-05;2770;11
551;810.0;2022-08-14;1543;11
552;765.0;2022-08-03;2613;11
553;810.0;2022-08-05;123;11
554;675.0;2022-08-08;1326;11
555;900.0;2022-08-06;938;11
556;675.0;2022-08-23;1149;11
557;810.0;2022-08-24;1796;11
558;1275.0;2024-08-19;561;12
559;735.0;2024-08-07;2451;12
560;1350.0;2024-08-24;2634;12
561;1275.0;2024-08-02;2615;12
562;1350.0;2024-08-12;3308;12
563;1500.0;2024-08-13;9;12
564;1350.0;2024-08-12;1328;12
565;735.0;2024-08-12;3472;12
566;735.0;2024-08-17;2071;12
567;1350.0;2024-08-06;1191;12
568;1500.0;2024-08-02;2430;12
569;1500.0;2024-08-12;2485;12
570;1275.0;2024-08-09;359;12
571;735.0;2024-08-11;3117;12
572;1500.0;2024-08-16;2300;12
573;1125.0;2024-08-03;1462;12
574;1275.0;2024-08-09;941;12
575;1275.0;2024-08-17;2627;12
576;1275.0;2024-08-17;3397;12
577;1350.0;2024-08-14;1134;12
578;735.0;2024-08-18;3718;12
579;1350.0;2024-08-15;262;12
580;1500.0;2024-08-23;1862;12
581;1125.0;2024-08-20;1798;12
582;1350.0;2024-08-01;3404;12
583;1275.0;2024-08-18;3216;12
584;1500.0;2024-08-17;510;12
585;1350.0;2024-08-20;3172;12
586;1500.0;2024-08-10;3437;12
587;1275.0;2024-08-06;1067;12
588;1500.0;2024-08-23;1405;12
589;1500.0;2024-08-13;2612;12
590;1350.0;2024-08-10;3728;12
591;1275.0;2024-08-15;2879;12
592;1275.0;2024-08-17;2187;12
593;735.0;2024-08-06;3197;12
594;1275.0;2024-08-01;2668;12
595;1275.0;2024-08-24;2239;12
596;1500.0;2024-08-08;3470;12
597;1500.0;2024-08-21;444;12
598;1275.0;2024-08-01;3090;12
599;1275.0;2024-08-21;91;12
600;1275.0;2024-08-06;1073;12
601;1125.0;2024-08-07;1669;12
602;735.0;2024-08-08;3521;12
603;1275.0;2024-08-05;3136;12
604;765.0;2021-08-02;2269;13
605;441.0;2021-08-04;3424;13
606;585.0;2021-08-09;2851;13
607;441.0;2021-08-09;653;13
608;810.0;2021-08-07;1916;13
609;765.0;2021-08-06;2165;13
610;675.0;2021-08-01;3452;13
611;675.0;2021-08-24;2624;13
612;900.0;2021-08-10;136;13
613;585.0;2021-08-09;2434;13
614;585.0;2021-08-22;1609;13
615;450.0;2021-08-01;2717;13
616;810.0;2021-08-05;3631;13
617;765.0;2021-08-15;3095;13
618;441.0;2021-08-20;2794;13
619;675.0;2021-08-09;1935;13
620;585.0;2021-08-04;3133;13
621;585.0;2021-08-13;3596;13
622;765.0;2021-08-14;3199;13
623;765.0;2021-08-23;425;13
624;765.0;2021-08-19;2728;13
625;765.0;2021-08-20;2563;13
626;810.0;2021-08-16;1333;13
627;441.0;2021-08-10;2560;13
628;441.0;2021-08-03;2655;13
629;441.0;2021-08-18;550;13
630;810.0;2021-08-23;3546;13
631;675.0;2021-08-22;384;13
632;765.0;2021-08-01;3490;13
633;900.0;2021-08-12;1309;13
634;765.0;2021-08-16;1245;13
635;900.0;2021-08-07;1085;13
636;900.0;2021-08-17;809;13
637;810.0;2021-08-11;1509;13
638;765.0;2021-08-11;1118;13
639;810.0;2021-08-12;820;13
640;765.0;2021-08-15;3103;13
641;585.0;2021-08-08;1626;13
642;675.0;2021-08-24;2156;13
643;675.0;2021-08-22;2231;13
644;585.0;2021-08-18;112;13
645;765.0;2021-08-22;2323;13
646;765.0;2021-08-23;1381;13
647;675.0;2021-08-17;1404;13
648;441.0;2021-08-23;3723;13
649;675.0;2021-08-18;516;13
650;900.0;2021-08-12;2552;13
651;765.0;2021-08-24;3859;13
652;810.0;2021-08-02;3471;13
653;810.0;2021-08-08;742;13
654;675.0;2021-08-01;2148;13
655;765.0;2021-08-12;3396;13
656;810.0;2021-08-22;2506;13
657;900.0;2021-08-16;3576;13
658;441.0;2021-08-07;1658;13
659;765.0;2021-08-02;3293;13
660;765.0;2021-08-08;3505;13
661;765.0;2021-08-10;3536;13
662;810.0;2021-08-19;673;13
663;450.0;2021-08-09;985;13
664;765.0;2021-08-24;324;13
665;441.0;2021-08-18;837;13
666;810.0;2021-08-06;2464;13
667;765.0;2021-08-09;2740;13
668;810.0;2021-08-11;2737;13
669;765.0;2021-08-16;736;13
670;810.0;2021-08-03;3659;13
671;392.0;2022-09-11;1656;14
672;720.0;2022-09-03;2662;14
673;520.0;2022-09-21;2867;14
674;680.0;2022-08-31;2128;14
675;392.0;2022-09-07;1476;14
676;680.0;2022-09-07;1403;14
677;680.0;2022-09-12;3037;14
678;800.0;2022-09-16;1024;14
679;600.0;2022-09-12;1423;14
680;680.0;2022-08-31;1242;14
681;520.0;2022-09-05;2037;14
682;800.0;2022-09-16;2253;14
683;600.0;2022-09-01;2602;14
684;720.0;2022-09-01;2004;14
685;720.0;2022-09-14;2739;14
686;720.0;2022-09-07;1902;14
687;600.0;2022-09-05;2132;14
688;800.0;2022-09-03;2999;14
689;680.0;2022-08-31;1494;14
690;720.0;2022-09-21;526;14
691;720.0;2022-09-15;3326;14
692;400.0;2022-09-16;2906;14
693;720.0;2022-09-17;21;14
694;720.0;2022-09-13;2372;14
695;680.0;2022-09-21;639;14
696;600.0;2022-09-17;3148;14
697;680.0;2022-09-21;1693;14
698;600.0;2022-09-06;2248;14
699;392.0;2022-09-20;892;14
700;680.0;2022-09-10;3238;14
701;800.0;2022-09-06;3373;14
702;800.0;2022-09-16;2552;14
703;520.0;2022-09-02;1171;14
704;800.0;2022-09-06;1293;14
705;520.0;2022-09-16;1853;14
706;392.0;2022-09-02;565;14
707;720.0;2022-09-22;483;14
708;392.0;2022-09-07;3158;14
709;392.0;2022-09-11;1279;14
710;720.0;2022-09-09;1197;14
711;392.0;2022-08-31;2470;14
712;680.0;2022-09-22;3611;14
713;680.0;2022-09-14;1903;14
714;520.0;2022-09-22;3054;14
715;720.0;2022-09-06;894;14
716;720.0;2022-09-19;1883;14
717;680.0;2022-09-15;935;14
718;720.0;2022-09-22;3169;14
719;600.0;2022-09-17;382;14
720;392.0;2022-09-06;398;14
721;720.0;2022-08-31;18;14
722;680.0;2022-09-02;1495;14
723;800.0;2022-08-31;2544;14
724;720.0;2022-09-09;2950;14
725;1125.0;2023-07-04;562;15
726;975.0;2023-07-19;1321;15
727;1500.0;2023-07-16;3215;15
728;975.0;2023-07-21;2700;15
729;1125.0;2023-07-17;2998;15
730;1350.0;2023-07-08;3633;15
731;1275.0;2023-07-02;2038;15
732;1350.0;2023-07-23;2801;15
733;975.0;2023-07-12;218;15
734;1350.0;2023-07-20;754;15
735;735.0;2023-07-23;3118;15
736;1350.0;2023-07-10;1380;15
737;1275.0;2023-07-14;1694;15
738;1125.0;2023-07-03;2136;15
739;1125.0;2023-07-15;1487;15
740;1275.0;2023-07-17;3543;15
741;975.0;2023-07-18;1606;15
742;1500.0;2023-07-13;3409;15
743;1125.0;2023-07-06;118;15
744;975.0;2023-07-17;2406;15
745;735.0;2023-07-07;159;15
746;1500.0;2023-07-06;2626;15
747;1350.0;2023-07-08;1333;15
748;1350.0;2023-07-22;3667;15
749;1275.0;2023-07-22;2604;15
750;1350.0;2023-07-17;2140;15
751;1500.0;2023-07-20;362;15
752;1350.0;2023-07-12;540;15
753;1000.0;2022-07-03;2133;16
754;850.0;2022-07-16;3650;16
755;490.0;2022-07-19;3851;16
756;850.0;2022-07-04;3076;16
757;850.0;2022-07-15;3350;16
758;650.0;2022-07-02;2729;16
759;900.0;2022-07-01;1307;16
760;750.0;2022-07-19;3671;16
761;900.0;2022-07-10;2992;16
762;500.0;2022-07-23;1745;16
763;850.0;2022-07-14;55;16
